[ActivityLogger] Success! Method=GET, URL=/api/coding?page=1&search=&difficulty=&topic=, Has user? false, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/users/profile, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/coding?page=1&search=&difficulty=&topic=, Has user? false, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/coding/6a7039e82aa9d8f3998f0901, Has user? false, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/coding/6a7039e82aa9d8f3998f0901, Has user? false, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/admin/auth/me, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/admin/auth/me, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/admin/auth/dashboard, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/admin/auth/dashboard, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/admin/tests, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/admin/tests, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/users/profile, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/coding?page=1&search=&difficulty=&topic=, Has user? false, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/users/profile, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/coding?page=1&search=&difficulty=&topic=, Has user? false, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/community/group/all, Has user? false, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/users/profile, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/community/discussion/all, Has user? false, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/community/group/all, Has user? false, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/users/profile, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/community/discussion/all, Has user? false, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/community/group/all, Has user? false, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/community/group/all, Has user? false, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/community/discussion/all, Has user? false, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/community/discussion/all, Has user? false, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/users/profile, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/users/profile, Has user? true, Has socket? true
[ActivityLogger] Success! Method=POST, URL=/api/community/group/join/6a56218dcf65e6b2b31b15b1, Has user? true, Has socket? true
